Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,209.4014,211.7118,207.7262,210.0315,210.0315,1000000
2020-01-02,209.7209,212.0348,208.0431,210.352,210.352,1192118
2020-01-03,210.3256,212.6461,208.643,210.9585,210.9585,1383099
2020-01-06,211.2098,213.5401,209.5202,211.8454,211.8454,1571816
2020-01-07,212.3655,214.7085,210.6665,213.0045,213.0045,1757150
2020-01-08,213.7817,216.1403,212.0714,214.4249,214.4249,1938006
2020-01-09,215.4451,217.8221,213.7215,216.0934,216.0934,2113315
2020-01-10,217.3399,219.7378,215.6012,217.9939,217.9939,2282039
2020-01-13,219.4479,221.8691,217.6923,220.1082,220.1082,2443181
2020-01-14,221.7487,224.1953,219.9747,222.416,222.416,2595788
2020-01-15,224.2199,226.6937,222.4261,224.8946,224.8946,2738956
2020-01-16,226.8372,229.3399,225.0225,227.5197,227.5197,2871841
2020-01-17,229.5749,232.1078,227.7383,230.2657,230.2657,2993654
2020-01-20,232.4062,234.9703,230.5469,233.1055,233.1055,3103677
2020-01-21,235.3037,237.8998,233.4212,236.0117,236.0117,3201258
2020-01-22,238.2397,240.8682,236.3338,238.9566,238.9566,3285820
2020-01-23,241.1871,243.8482,239.2576,241.9129,241.9129,3356864
2020-01-24,244.1196,246.813,242.1666,244.8541,244.8541,3413968
2020-01-27,247.0124,249.7378,245.0363,247.7557,247.7557,3456795
2020-01-28,249.8432,252.5997,247.8445,250.595,250.595,3485093
2020-01-29,252.5921,255.3789,250.5713,253.3521,253.3521,3498693
2020-01-30,255.2425,258.0587,253.2006,256.0106,256.0106,3497515
2020-01-31,257.7819,260.626,255.7196,258.5576,258.5576,3481566
2020-02-03,260.2014,263.0722,258.1198,260.9843,260.9843,3450941
2020-02-04,262.4968,265.3929,260.3968,263.2866,263.2866,3405820
2020-02-05,264.6682,267.5883,262.5509,265.4646,265.4646,3346470
2020-02-06,266.7204,269.6632,264.5866,267.523,267.523,3273243
2020-02-07,268.6624,271.6266,266.5131,269.4708,269.4708,3186571
2020-02-10,270.5075,273.492,268.3434,271.3214,271.3214,3086968
2020-02-11,272.2726,275.2766,270.0944,273.0919,273.0919,2975022
2020-02-12,273.9783,277.0011,271.7864,274.8027,274.8027,2851395
2020-02-13,275.6476,278.6889,273.4424,276.477,276.477,2716818
2020-02-14,277.3061,280.3657,275.0877,278.1405,278.1405,2572087
2020-02-17,278.9808,282.0588,276.749,279.8203,279.8203,2418059
2020-02-18,280.6997,283.7967,278.4541,281.5444,281.5444,2255644
2020-02-19,282.4912,285.6079,280.2312,283.3412,283.3412,2085803
2020-02-20,284.3831,287.5207,282.108,285.2388,285.2388,1909541
2020-02-21,286.4024,289.5623,284.1112,287.2642,287.2642,1727899
2020-02-24,288.5746,291.7584,286.266,289.4429,289.4429,1541952
2020-02-25,290.9229,294.1327,288.5955,291.7983,291.7983,1352800
2020-02-26,293.4679,296.7058,291.1202,294.351,294.351,1161561
2020-02-27,296.2272,299.4955,293.8573,297.1185,297.1185,1030632
