Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,119.6699,120.9902,118.7126,120.03,120.03,1000000
2020-01-02,119.8645,121.1869,118.9056,120.2251,120.2251,1192118
2020-01-03,120.2221,121.5485,119.2603,120.5838,120.5838,1383099
2020-01-06,120.7395,122.0716,119.7736,121.1028,121.1028,1571816
2020-01-07,121.4122,122.7518,120.4409,121.7775,121.7775,1757150
2020-01-08,122.234,123.5826,121.2561,122.6018,122.6018,1938006
2020-01-09,123.1973,124.5566,122.2117,123.568,123.568,2113315
2020-01-10,124.2931,125.6645,123.2988,124.6671,124.6671,2282039
2020-01-13,125.5111,126.8959,124.507,125.8888,125.8888,2443181
2020-01-14,126.8396,128.239,125.8249,127.2213,127.2213,2595788
2020-01-15,128.2658,129.681,127.2397,128.6517,128.6517,2738956
2020-01-16,129.7758,131.2077,128.7376,130.1663,130.1663,2871841
2020-01-17,131.3551,132.8043,130.3042,131.7503,131.7503,2993654
2020-01-20,132.9882,134.4555,131.9243,133.3884,133.3884,3103677
2020-01-21,134.6595,136.1452,133.5822,135.0647,135.0647,3201258
2020-01-22,136.3532,137.8576,135.2624,136.7635,136.7635,3285820
2020-01-23,138.0537,139.5769,136.9493,138.4692,138.4692,3356864
2020-01-24,139.7461,141.2879,138.6281,140.1666,140.1666,3413968
2020-01-27,141.4161,142.9763,140.2847,141.8416,141.8416,3456795
2020-01-28,143.0508,144.6291,141.9064,143.4813,143.4813,3485093
2020-01-29,144.639,146.2349,143.4819,145.0743,145.0743,3498693
2020-01-30,146.1712,147.7839,145.0018,146.611,146.611,3497515
2020-01-31,147.64,149.269,146.4589,148.0843,148.0843,3481566
2020-02-03,149.0405,150.6849,147.8482,149.489,149.489,3450941
2020-02-04,150.3702,152.0293,149.1673,150.8227,150.8227,3405820
2020-02-05,151.6292,153.3021,150.4161,152.0854,152.0854,3346470
2020-02-06,152.82,154.5061,151.5975,153.2799,153.2799,3273243
2020-02-07,153.948,155.6465,152.7164,154.4112,154.4112,3186571
2020-02-10,155.0206,156.731,153.7805,155.4871,155.4871,3086968
2020-02-11,156.0477,157.7694,154.7993,156.5173,156.5173,2975022
2020-02-12,157.0409,158.7735,155.7845,157.5134,157.5134,2851395
2020-02-13,158.0134,159.7568,156.7493,158.4889,158.4889,2716818
2020-02-14,158.9799,160.734,157.7081,159.4583,159.4583,2572087
2020-02-17,159.956,161.7208,158.6763,160.4373,160.4373,2418059
2020-02-18,160.9575,162.7334,159.6698,161.4418,161.4418,2255644
2020-02-19,162.0008,163.7882,160.7048,162.4883,162.4883,2085803
2020-02-20,163.102,164.9015,161.7972,163.5928,163.5928,1909541
2020-02-21,164.2764,166.0889,162.9622,164.7708,164.7708,1727899
2020-02-24,165.5388,167.3652,164.2145,166.0369,166.0369,1541952
2020-02-25,166.9024,168.7439,165.5672,167.4047,167.4047,1352800
2020-02-26,168.3792,170.237,167.0322,168.8859,168.8859,1161561
2020-02-27,169.9792,171.8546,168.6194,170.4907,170.4907,1030632
2020-02-28,171.7104,173.6049,170.3367,172.227,172.227,1222646
2020-03-02,173.5784,175.4935,172.1898,174.1007,174.1007,1413342
2020-03-03,175.5866,177.5239,174.1819,176.1149,176.1149,1601594
2020-03-04,177.7354,179.6963,176.3135,178.2702,178.2702,1786287
2020-03-05,180.0223,182.0085,178.5821,180.564,180.564,1966331
2020-03-06,182.4421,184.455,180.9825,182.991,182.991,2140659
2020-03-09,184.9861,187.0271,183.5062,185.5427,185.5427,2308241
2020-03-10,187.6427,189.713,186.1416,188.2074,188.2074,2468086
2020-03-11,190.3971,192.4978,188.8739,190.97,190.97,2619248
2020-03-12,193.2311,195.363,191.6852,193.8125,193.8125,2760834
2020-03-13,196.1237,198.2875,194.5547,196.7138,196.7138,2892006
2020-03-16,199.051,201.2471,197.4586,199.6499,199.6499,3011988
2020-03-17,201.9865,204.215,200.3706,202.5943,202.5943,3120070
2020-03-18,204.9016,207.1623,203.2624,205.5181,205.5181,3215614
2020-03-19,207.7659,210.0582,206.1038,208.3911,208.3911,3298054
2020-03-20,210.548,212.871,208.8636,211.1815,211.1815,3366903
2020-03-23,213.2157,215.5681,211.51,213.8573,213.8573,3421754
2020-03-24,215.7373,218.1175,214.0114,216.3864,216.3864,3462281
2020-03-25,218.0817,220.4879,216.3371,218.738,218.738,3488246
2020-03-26,220.22,222.6497,218.4582,220.8826,220.8826,3499495
2020-03-27,222.1252,224.5759,220.3482,222.7936,222.7936,3495962
